Age,Gender,House_size,State,Time,Y_Actual,state_impact,spend,Y_RN
52,0,1125,CA,45:01.8,0,5,0.692173744,0.81
54,1,2779,NY,54:12.3,1,5,0.523762317,0.28
52,0,2172,TX,27:06.3,0,1,0.017065129,0.22
52,0,484,CA,46:07.3,0,5,0.293834608,0.69
40,1,2799,IL,12:35.9,1,1,0.521042322,0.2
58,0,1695,TX,18:55.3,0,1,0.862998323,0.42
49,1,1958,CA,41:15.0,0,5,0.824249761,0.99
55,0,2639,TX,16:53.9,0,1,0.052505159,0.49
43,0,2897,FL,58:48.7,0,1,0.257232838,0.34
59,0,1049,CA,55:44.5,0,5,0.263486482,0.67
55,1,2128,CA,49:38.7,0,5,0.076819104,1
54,0,1633,NY,04:55.1,0,5,0.528238805,0.37
52,0,779,IL,21:09.6,0,1,0.530030391,0.78
53,1,2692,NY,17:46.7,1,5,0.390842125,0.54
40,1,2691,IL,02:38.6,1,1,0.888712541,0.12
40,1,2972,FL,50:35.5,0,1,0.641937628,0.81
49,1,1031,FL,42:53.6,1,1,0.150590643,0.15
52,1,881,NY,18:32.3,0,5,0.774689058,0.67
57,1,1209,CA,08:29.3,0,5,0.836140903,0.83
43,1,2604,IL,03:03.7,0,1,0.266396181,0.52
51,0,2996,CA,36:08.7,0,5,0.632054963,0.87
55,1,1548,IL,55:13.6,1,1,0.700208305,0.28
46,0,2693,TX,32:37.0,0,1,0.405757839,0.15
44,1,973,IL,53:30.0,0,1,0.815447417,0.51
50,1,644,TX,56:33.3,1,1,0.614740585,0.27
54,1,448,CA,46:27.3,0,5,0.823481456,0.63
49,0,974,CA,41:01.1,0,5,0.541375347,0.62
48,0,1797,TX,38:01.7,0,1,0.749134249,0.09
58,0,2115,CA,36:57.2,0,5,0.008508185,0.89
57,1,441,TX,14:17.4,1,1,0.579973801,0.32
42,0,2154,NY,30:32.6,0,5,0.625403602,0.97
53,0,2742,NY,11:41.4,0,5,0.03486984,0.66
54,0,503,CA,01:57.6,0,5,0.093973329,0.39
45,0,1518,FL,24:23.2,0,1,0.142737426,0.76
49,0,1133,IL,54:37.0,0,1,0.040584609,0.29
52,1,609,NY,27:15.7,1,5,0.081311876,0.04
48,1,416,FL,15:13.8,1,1,0.106392632,0.33
57,1,1564,CA,19:15.4,0,5,0.857479326,0.92
41,1,2217,NY,21:04.2,1,5,0.250946277,0.22
45,1,2860,CA,44:39.2,0,5,0.93599218,0.98
41,0,1725,FL,00:36.9,0,1,0.551148113,0.16
45,1,555,FL,38:38.2,0,1,0.998130529,0.44
52,0,1942,CA,04:43.3,0,5,0.963845482,0.69
59,0,2850,IL,02:37.4,0,1,0.285701588,0.4
54,0,2922,FL,31:06.8,0,1,0.702853406,0.22
59,0,1396,TX,43:33.5,0,1,0.729309058,0.62
49,1,1581,CA,00:30.9,1,5,0.681672464,0.11
53,0,2385,CA,27:00.9,0,5,0.974904704,0.02
43,0,1907,TX,17:28.9,0,1,0.750549495,0.11
43,0,451,CA,01:56.0,0,5,0.854996241,0.53
53,0,2461,CA,46:25.4,0,5,0.549283265,0.37
45,0,2158,CA,45:03.9,0,5,0.406109132,0.5
46,1,1494,IL,59:16.7,0,1,0.616848131,0.64
58,1,825,CA,49:07.5,0,5,0.623452984,0.74
57,1,531,FL,42:13.8,1,1,0.971605551,0.65
46,0,2800,CA,06:42.6,0,5,0.880888215,0.26
50,0,1110,TX,47:36.0,0,1,0.721598515,0.47
59,0,2069,CA,07:17.8,0,5,0.903494667,0.79
43,1,1525,CA,57:02.4,0,5,0.275667978,0.85
58,0,1871,CA,32:05.3,0,5,0.5945841,0.57
52,0,1151,FL,03:24.7,0,1,0.956796676,0.68
53,0,1492,TX,54:59.3,0,1,0.172793358,0.33
42,1,913,NY,55:11.8,1,5,0.685348857,0.23
47,1,678,CA,16:48.2,1,5,0.31432534,0.35
55,1,905,FL,14:21.3,1,1,0.501963243,0
47,1,2079,IL,58:26.4,1,1,0.380416774,0.4
51,1,1463,CA,59:24.9,1,5,0.296021116,0.1
42,0,2714,IL,40:36.7,0,1,0.758166647,0.87
60,1,2476,TX,35:58.8,1,1,0.555589517,0.61
42,0,553,FL,52:54.8,0,1,0.850531356,0.99
50,1,745,IL,52:19.6,1,1,0.716997039,0.2
57,0,1312,IL,33:48.5,0,1,0.241169307,0.64
48,1,559,CA,47:04.3,0,5,0.865812882,0.93
42,0,2640,TX,48:11.2,0,1,0.208458976,0.6
54,0,2198,NY,52:56.1,0,5,0.189618676,0.71
47,0,430,CA,02:03.3,0,5,0.437230165,0.31
47,0,1396,TX,46:10.0,0,1,0.90151719,0.52
58,0,1740,CA,33:46.0,0,5,0.794547681,0.28
44,0,2918,IL,05:13.3,0,1,0.738990227,0.72
57,1,1826,CA,56:53.4,0,5,0.554417529,0.93
43,1,536,IL,37:18.6,0,1,0.001451677,0.49
50,1,1632,CA,45:42.3,1,5,0.416048324,0.13
55,0,2700,FL,33:23.7,0,1,0.834504694,0.62
47,1,1189,FL,27:06.1,1,1,0.865283276,0.04
42,0,2974,CA,00:31.4,0,5,0.968692964,0.73
42,0,1843,CA,58:22.0,0,5,0.724581091,0.46
44,0,1265,CA,56:35.3,0,5,0.247273507,0.14
47,0,2503,CA,09:59.9,0,5,0.183833021,0.31
52,0,1897,CA,00:38.7,0,5,0.226341637,0.13
51,0,1100,NY,19:28.9,0,5,0.997690516,0.64
58,0,986,IL,55:48.8,0,1,0.698488372,0.61
43,0,2761,TX,09:27.1,0,1,0.674948997,0.04
40,0,400,TX,40:45.2,0,1,0.093999073,0.75
60,0,2294,FL,02:04.6,0,1,0.235209737,0.36
43,1,1252,CA,37:46.7,0,5,0.480824141,0.91
58,1,1417,CA,47:29.3,0,5,0.861803107,0.73
53,0,1626,IL,03:26.4,0,1,0.025293469,0.35
52,0,2315,CA,19:42.9,0,5,0.525671644,0.54
50,1,2309,CA,11:49.6,0,5,0.276249414,0.73
51,0,1853,FL,43:46.6,0,1,0.373566902,0.32
44,1,1196,FL,04:06.9,1,1,0.503617049,0.1
42,1,1896,IL,42:13.6,0,1,0.595297659,0.91
40,0,1025,IL,49:58.9,0,1,0.450170714,0.79
41,1,1521,NY,41:13.2,0,5,0.100676027,0.66
53,1,1552,NY,56:05.3,1,5,0.098549281,0.26
58,0,665,TX,58:11.5,0,1,0.798023907,0.37
41,0,496,NY,29:38.9,0,5,0.734180649,0.01
59,1,1235,CA,04:12.0,0,5,0.060492288,0.83
49,0,1307,CA,12:42.0,0,5,0.408275636,0.65
51,1,1095,CA,53:23.7,0,5,0.123135441,0.88
46,0,1491,CA,59:24.1,0,5,0.833575193,0.28
54,0,2846,CA,55:16.5,1,5,0.295405748,0.01
40,1,2037,TX,54:33.9,0,1,0.467832602,0.33
58,1,1205,CA,55:11.0,0,5,0.886403831,0.91
46,1,1456,IL,50:35.0,0,1,0.009481379,0.41
53,1,2464,FL,37:02.2,1,1,0.060059282,0.02
52,0,830,TX,59:00.9,0,1,0.462255694,0.18
53,1,1753,CA,11:58.8,1,5,0.790061817,0
44,0,790,TX,41:41.0,0,1,0.967274187,0.06
54,1,413,FL,45:40.8,1,1,0.987670983,0.06
55,0,1086,CA,57:07.6,0,5,0.709185537,0.63
59,0,2811,CA,39:53.6,0,5,0.583199185,0.07
47,0,2218,CA,40:50.8,0,5,0.377359126,0.26
60,0,1165,FL,42:51.7,0,1,0.429124477,0.34
58,0,2279,IL,19:14.0,0,1,0.530178297,0.57
50,1,1521,CA,00:06.0,0,5,0.017263419,0.73
49,0,1112,CA,49:45.6,0,5,0.773726909,0.96
47,1,2911,TX,38:41.2,0,1,0.235160698,0.8
47,0,2521,NY,03:38.5,0,5,0.825948198,0.54
54,1,2955,NY,57:58.7,1,5,0.347360486,0.02
60,1,1228,IL,11:35.5,1,1,0.142409992,0.11
53,1,1918,TX,22:42.4,1,1,0.839453877,0.25
47,0,2811,TX,34:54.8,0,1,0.840667243,0.46
50,0,1271,CA,32:15.2,0,5,0.33098957,0.29
51,1,1043,NY,14:29.3,0,5,0.798380034,0.93
51,1,1836,NY,16:34.8,1,5,0.837408231,0.32
56,0,456,IL,07:55.0,0,1,0.713349347,0.44
55,1,1395,NY,04:25.2,1,5,0.092325451,0.25
47,0,578,TX,11:43.7,0,1,0.209017589,0.02
59,0,949,CA,53:46.5,0,5,0.20072562,0.34
53,1,2854,FL,59:05.9,0,1,0.145986369,0.96
56,0,2115,TX,20:40.8,0,1,0.198215611,0.03
43,1,1373,FL,25:31.4,0,1,0.725364749,0.73
46,1,2728,CA,07:00.0,1,5,0.527623679,0.35
47,1,2859,NY,51:10.6,0,5,0.05809136,0.7
54,1,1639,TX,18:19.3,1,1,0.32842449,0.04
54,0,2742,CA,25:38.3,0,5,0.765944541,0.46
42,1,2853,IL,44:30.8,0,1,0.848976477,0.66
49,1,476,TX,54:55.6,1,1,0.430981647,0.07
51,1,628,CA,15:33.9,1,5,0.710174066,0.21
45,1,707,FL,42:52.0,0,1,0.020103733,0.8
51,0,1443,IL,19:08.8,0,1,0.104410977,0.93
51,0,1200,TX,20:07.1,0,1,0.810332821,0.36
55,1,1758,CA,02:47.1,1,5,0.429665916,0.2
52,0,2048,CA,38:55.7,0,5,0.069646014,0.21
58,1,2139,TX,16:40.3,1,1,0.633607659,0.13
55,0,544,NY,18:33.1,0,5,0.217392862,0.34
43,1,1220,IL,01:40.5,0,1,0.571981869,0.75
58,1,781,TX,24:22.0,1,1,0.025058165,0.24
45,1,1742,TX,49:54.5,0,1,0.56585837,0.65
40,0,507,CA,36:48.6,0,5,0.094164608,0.32
52,0,2646,CA,34:24.0,0,5,0.673915356,0.56
49,0,2533,CA,05:29.2,0,5,0.721659597,0.76
59,0,1230,TX,03:53.3,0,1,0.401331375,0.1
42,0,2400,FL,24:16.6,0,1,0.614476546,0.53
50,0,1555,TX,56:06.9,0,1,0.545978611,0.58
60,0,854,TX,47:47.1,0,1,0.7085911,0.79
52,1,2284,TX,55:24.7,1,1,0.913912998,0.25
56,1,2915,NY,13:32.3,1,5,0.527332111,0.27
54,0,2058,CA,31:21.9,0,5,0.367228164,0.64
41,0,2039,NY,16:15.5,0,5,0.20057936,0.05
50,0,2371,FL,00:43.0,0,1,0.514869718,0.65
43,1,561,TX,08:44.0,0,1,0.946088053,0.52
53,1,1259,CA,39:56.6,0,5,0.57610653,0.81
43,0,1529,TX,54:57.9,0,1,0.548268733,0.79
47,0,1753,FL,24:10.2,0,1,0.034431627,0.55
43,0,2389,FL,14:09.0,0,1,0.263276273,0.47
57,0,1837,TX,45:05.7,0,1,0.181158747,0.53
55,0,1790,TX,09:11.2,0,1,0.922400277,0.38
45,1,2709,FL,17:07.2,1,1,0.177698545,0.23
43,1,2208,CA,31:13.7,0,5,0.205364428,0.94
44,1,2934,CA,15:13.5,1,5,0.978641692,0.33
57,1,903,FL,06:19.5,0,1,0.538087886,0.86
50,0,2949,NY,37:26.6,0,5,0.100921617,0.94
44,0,1080,TX,23:11.5,0,1,0.582858675,0.72
59,0,1934,CA,22:19.3,0,5,0.81413556,0.06
41,1,2713,TX,31:35.6,0,1,0.049772199,0.44
57,1,2980,TX,57:04.4,0,1,0.046304368,0.97
50,1,1601,NY,26:39.5,0,5,0.147900567,0.89
55,0,1205,TX,26:40.7,0,1,0.713226166,0.25
41,0,1364,IL,28:23.4,0,1,0.0926635,0.13
43,1,1855,FL,12:31.5,0,1,0.410491781,0.79
47,0,2881,TX,10:19.4,0,1,0.12791613,0.78
57,0,876,CA,37:05.0,0,5,0.54650188,0.18
45,0,2006,FL,14:54.2,0,1,0.011281852,0.16
44,0,2338,TX,57:12.1,0,1,0.253796636,0.66
42,1,1178,FL,43:45.7,1,1,0.122906367,0.05
41,1,2354,FL,36:51.7,0,1,0.607070852,0.68
59,1,1957,TX,05:12.9,1,1,0.935214984,0.7
48,1,1145,CA,46:40.0,0,5,0.120147786,0.95
48,0,1394,CA,01:50.6,0,5,0.352236083,0.04
53,1,2573,CA,03:26.9,0,5,0.795846545,0.68
45,0,1476,CA,07:37.9,0,5,0.418784875,0.08
40,0,1005,IL,37:00.5,0,1,0.185071096,0.52
50,1,785,IL,58:27.6,0,1,0.600414408,0.87
40,0,2608,FL,14:06.4,0,1,0.562411638,0.44
50,1,2672,NY,23:54.4,0,5,0.206883985,0.81
52,0,1608,CA,49:56.0,0,5,0.819066642,0.64
40,0,2718,CA,57:17.6,0,5,0.534442118,0.48
54,0,2305,CA,02:43.1,0,5,0.622544111,0.76
58,1,2821,TX,43:27.1,0,1,0.197275708,0.76
46,1,2067,FL,04:33.1,0,1,0.544678234,0.68
60,0,2960,NY,25:42.2,0,5,0.193043876,0.91
50,0,1392,TX,29:24.0,0,1,0.938667578,0.44
50,1,1487,NY,26:35.3,1,5,0.29686638,0.16
51,1,526,CA,24:24.4,1,5,0.591355896,0.17
60,1,1200,NY,30:28.5,1,5,0.58904799,0.53
42,1,1227,CA,31:25.0,0,5,0.339089011,0.79
48,1,2914,IL,48:01.6,0,1,0.690241922,0.9
57,1,689,CA,57:09.2,1,5,0.145463239,0.19
56,1,1280,TX,25:40.4,1,1,0.986889292,0.55
43,0,1967,TX,33:58.0,0,1,0.053410598,0.99
44,1,2173,CA,52:12.1,0,5,0.277874044,0.47
48,0,1510,CA,51:24.9,0,5,0.246444607,0.48
53,0,1994,IL,40:57.6,0,1,0.020570058,0.42
54,1,1940,FL,39:53.7,0,1,0.187675823,0.72
44,1,2524,NY,22:33.2,1,5,0.701939287,0.15
41,1,2633,TX,03:20.0,1,1,0.81355875,0.06
55,1,1410,TX,00:21.5,1,1,0.505081036,0.19
57,1,1191,IL,03:06.8,1,1,0.514176285,0.17
53,1,2634,CA,35:37.3,0,5,0.981096118,0.93
56,1,756,TX,32:49.8,1,1,0.004546424,0.15
56,1,2658,CA,43:02.7,0,5,0.528576117,0.78
52,1,2281,CA,48:00.9,0,5,0.798247504,0.87
55,0,2126,CA,43:27.9,0,5,0.356849899,0.12
48,1,2829,CA,19:54.3,1,5,0.177322742,0.2
41,1,2631,CA,22:17.7,1,5,0.057319684,0.24
47,0,533,CA,03:43.4,0,5,0.965500662,0.82
52,0,910,NY,47:31.6,0,5,0.182483969,0.62
52,1,486,CA,33:02.9,1,5,0.527856829,0.45
46,0,1581,CA,13:36.8,0,5,0.574633169,0.68
42,1,573,NY,55:13.9,0,5,0.657403639,0.36
47,0,2815,CA,24:37.3,0,5,0.495745155,0.75
52,0,1174,CA,11:07.3,0,5,0.602284163,0.99
53,0,2624,TX,04:30.9,0,1,0.447602103,0.65
52,0,617,NY,49:03.2,0,5,0.754362665,0.62
48,1,1033,FL,56:52.1,0,1,0.237655084,0.61
48,0,917,CA,18:15.9,0,5,0.716969442,0.93
46,1,1958,CA,50:42.0,1,5,0.241368708,0.3
47,0,2324,TX,18:50.7,0,1,0.345202454,0.52
60,1,736,FL,27:08.2,1,1,0.775046845,0.42
52,0,2722,TX,52:09.7,0,1,0.715080447,0.92
43,1,2626,FL,09:38.7,0,1,0.163772954,0.72
42,0,1703,NY,55:56.3,0,5,0.298881812,0.32
52,0,2432,FL,26:39.8,0,1,0.326224962,0.92
41,1,2556,NY,39:17.8,0,5,0.412737852,0.45
53,1,2344,FL,42:16.6,0,1,0.982624738,0.77
44,1,665,CA,57:40.9,1,5,0.341899948,0.17
41,1,513,FL,38:43.5,0,1,0.178085008,0.3
55,0,2112,TX,46:15.2,0,1,0.476652616,0.26
46,0,1352,FL,53:09.7,0,1,0.089270678,0.64
50,1,2212,CA,04:45.7,1,5,0.28604921,0.25
44,1,2344,FL,02:12.1,1,1,0.724557767,0.27
57,1,1290,TX,02:53.2,1,1,0.436035819,0.5
48,1,2291,TX,22:11.6,0,1,0.043155373,0.56
50,0,1460,TX,09:42.3,0,1,0.785752838,0.71
55,1,1132,CA,55:03.0,0,5,0.601385871,0.86
44,0,2256,NY,13:12.1,0,5,0.416245857,0.44
41,0,977,NY,37:26.7,0,5,0.768727137,0.93
49,1,1527,IL,06:30.0,1,1,0.594139529,0.16
56,1,2960,NY,18:37.4,1,5,0.730476568,0.22
47,1,1016,TX,23:43.0,1,1,0.834599127,0.16
48,0,2723,CA,42:57.0,0,5,0.698655958,0.98
42,0,1070,CA,24:48.1,0,5,0.143599505,0.3
44,0,664,CA,46:22.9,0,5,0.414248687,0.99
45,1,2083,TX,35:56.8,0,1,0.186234275,0.41
49,0,2519,CA,37:04.1,0,5,0.64898962,0.13
60,1,1393,FL,07:46.6,1,1,0.611302306,0.64
46,0,1287,CA,20:24.9,0,5,0.203564149,0.63
49,0,2231,CA,12:14.9,0,5,0.74762663,0.38
53,0,2695,TX,07:17.7,0,1,0.597292999,0.53
51,1,889,TX,31:48.4,1,1,0.205954995,0.24
49,1,2070,FL,57:10.0,0,1,0.341741402,0.84
59,1,2107,CA,20:21.2,1,5,0.232308888,0.46
40,1,1729,TX,53:57.9,0,1,0.485502949,0.92
40,1,2996,CA,43:36.7,1,5,0.499659491,0.25
44,1,1741,CA,50:25.9,1,5,0.691432507,0.01
58,1,715,NY,47:59.4,0,5,0.390157804,0.75
51,1,1457,CA,50:06.2,1,5,0.920984763,0
44,1,2549,CA,13:38.3,1,5,0.9002544,0.28
48,0,2313,TX,11:27.8,0,1,0.621588886,0.05
46,1,1828,TX,00:13.1,0,1,0.373341078,0.89
